Symbol
"AAPL"
"O"
"JNJ"
"CNQ"
"PEP"
"T"
"PG"
"LTC"
"MCD"
"JPM"
"CAT"
"IBM"
"CAH"
"GD"
"RY"
"BMO"
"BATS"
"BNS"
"CB"
"LOW"
"SYY"
"ITW"
"WMT"
"KMB"
"RKT"
"MAIN"
"ADP"
"SBUX"
"ECL"
"CVX"
"SEMB"
"PSEC"
"AGNC"
"STAG"
"AFLPPG"
"MDT"
"NUE"
"EMR"
"TROW"
"BEN"
"STHS"
"SHW"
"SSHY"
"VUSC"
"GWW"
"ROP"
"ADC"
